"english","hinglish"
"tell my boyfriend to meet for drinks at Outback tonight","mere pati ko aaj raat Outback me drinks par milne ke liye bolo"
"i need to get rid of all of my weekend reminders for next month","mujhe mere sabhi weekend reminders se agle mahine ke liye chahiye"
"Please show me alternative routes to Northeast Pediatrics Associates without freeway .","Please mujhe freeway ke bina Northeast Pediatrics Associates tak ke liye alternative routes bataye ."
"how long will it take me to get to boston at 60 miles per hour","60 miles per hour par mujhe boston pahuchne mei kitni der lagegi"
"What are my new messages ?","Mere naye messages kya hai ?"
"cancel the reminder about the jewelry party","jewelry party ke liye reminder cancel kare"
"Give me the weather","mujhe mausam batao"
"Turn the snooze on for five minutes .","snooze ko panch minute ke liye on karo ."
"I was still a kid back then and I remember liking it a lot","mein tho abhi bhi kid hey aur mein kaafi remember kartha hoon"
"what is the distance between Port St Lucie and Vero Beach","Port St Lucie aur Vero Beach ke beech kitna distance hai"
"I would like to hear my Kidz Bop playlist","mai apni Kidz Bop playlist sunna chahta hoon"
"So they can't distinguish between a dream and what is real.","To wo dream aur real ke beech mein distinguish nahi kar sakte."
"Do not be like those who, after they had been given clear evidence, split into factions and differed among themselves: a terrible punishment awaits such people.","Do not be like those who, after they had been given clear evidence,Ve vibhed me pad gaye.Ye vahi log he jinke liye badi punishment he ."
"Is I - 70 North and South or East and West","kya I - 70 North and South par hai ya East and West"
"Make an alarm for the 16th April","16th April ke liye alarm banaye"
"Please advise the weather in Gosford this weekend","Please is weekend ko Gosford me mausam ki jaankari den"
"Traffic","Traffic ke bare me"
"Send a message to Ann that I will collect her mail while she ' s away .","Ann ko message bhejo ki mai usey batana chahta hoon ki wo apne mail ko collect kardegi jab wo niklenge"
"Is there a delay at the Holland Tunnel","kya Holland Tunnel me delay huwi hai"
"remember take papers when going to doctors appointment","doctor ke appointment par jaane se pehle papers lene ke liye yad dilayen"
"Create June 7 alarm","June 7 ka alarm create karo"
"Toss out the reminder about the board meeting scheduled for next Wednesday .","agley Wednesday ke liye board meeting scheduled ke barey me reminder ko toss out kare"
"Turn off wake up alarm","wake up alarm band kare"
"taylor swift concerts this year","is saal taylor swift ke concerts"
"Help me avoid the event traffic tonight","Aaj raat mujhe traffic se bachne me help kare"
"Set up a weekly reminder to approve the timecards of my employees every Monday .","ek weekly reminder set kardo to approve the timecards of my employees every Monday ."
"Remind me to clean the sheets Friday night at 7 pm","Friday raat 7 baje mujhe sheets saaf karne ke liye yaad dilaayen"
"Is it around 55 Celsius out there this weekend","Kya is weekend bahar 55 Celsius ke aas paas rahega"
"remind mom to get the silk almond milk and not the organics brand","mom ko organics brand nahi balki silk almond milk khareedne ke liye yaad dilayen"
"cancel reminder to feed dog tonight","Aj dog ko feed karne ke liye reminder cancel kare"
"what is the traffic like right now","abhi traffic kaisa hai"
"When will the timer go off ?","timer kab band hoga ?"
"show me all of my group reminders","Muje mere sare group reminders dikhaye"
"Can you message Simka and ask her to meet me at Pete ' s Tavern tonight ?","Kya aap Simka ko message karsakte hai aur puchiye ki mujhse aaj raat Pete ke Tavern me milen ?"
"Play the Beatles last album .","the Beatles ka last album bajao ."
"How long will it take me to get to RBA without traffic","traffic ke bina RBA tak pahunchne me mujhe kitna samay lagega"
"Play Kids Bop Radio on Pandora .","Pandora par Kids Bop Radio bajao ."
"Where are the happenings tonight","Aaj raat hone wale events kaha hai"
"change the default music provider to iheartradio","default music provider ko iheartradio mein badal do"
"Remind me about dad ' s birthday on Tuesday instead of Thursday .","Mujhe Thursday ke bajaye Tuesday ko dad ke birthday ke bare me yaad dilaayen ."
"Have I received any messages from Kevin Lee Ox this week","kya maine is haftey Kevin Lee Ox ki taraf se koi messages receive kiye hai"
"update monday alarm for 2 pm","monday ke alarm ko dopahar 2 baje ke liye update karen"
"Concerts by Keith Sweat for this weekend","Is weekend ko Keith Sweat ke Concerts"
"Send a message to Sara to find out what time the Drake concert starts on Thursday .","Sara ko message bhejo to find out what time the Drake concert starts on Thursday ."
"I misspoke , can you edit my tea timer from three hours to three minutes ?","mai misspoke hoon , kya aap mera tea timer three hours se three minutes me edit karsakte hai ?"
"Play Bossanova radio station on Pandora","Pandora par Bossanova radio station bajao"
"Are there any active hurricanes","Kya koi hurricanes active hai"
"saif and kareena didn't name their child salman. everything's safe.","Saif aur Kareena ne apne bacche ka naam Salman to nahi rakha. Sab safe hai."
"alarms all off","sabhi alarms band kardo"
